"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 03 02:52:16 UTC 2023","Sun Dec 03 02:52:23 UTC 2023","7433","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Dec 03 03:09:09 UTC 2023","Sun Dec 03 03:09:11 UTC 2023","1536","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Dec 03 02:54:53 UTC 2023","Sun Dec 03 02:56:01 UTC 2023","68272","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Dec 03 02:41:13 UTC 2023","Sun Dec 03 02:41:16 UTC 2023","3088","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Dec 03 03:35:49 UTC 2023","Sun Dec 03 03:36:07 UTC 2023","18291","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Dec 03 03:48:48 UTC 2023","Sun Dec 03 03:48:54 UTC 2023","6277","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Dec 03 02:31:17 UTC 2023","Sun Dec 03 02:31:36 UTC 2023","19460","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Dec 03 04:17:41 UTC 2023","Sun Dec 03 04:18:02 UTC 2023","20886","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Dec 03 02:50:27 UTC 2023","Sun Dec 03 02:50:27 UTC 2023","397","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Dec 03 02:46:12 UTC 2023","Sun Dec 03 02:46:18 UTC 2023","6510","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Dec 03 02:28:46 UTC 2023","Sun Dec 03 02:29:08 UTC 2023","22022","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Dec 03 02:47:17 UTC 2023","Sun Dec 03 02:47:20 UTC 2023","2613","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"skipped","Sun Dec 03 02:28:21 UTC 2023","Sun Dec 03 02:28:21 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Dec 03 03:31:59 UTC 2023","Sun Dec 03 03:32:08 UTC 2023","9528","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Dec 03 02:50:24 UTC 2023","Sun Dec 03 02:50:27 UTC 2023","2502","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Dec 03 02:39:36 UTC 2023","Sun Dec 03 02:39:41 UTC 2023","4243","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Dec 03 02:49:33 UTC 2023","Sun Dec 03 02:49:38 UTC 2023","5116","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Dec 03 02:43:34 UTC 2023","Sun Dec 03 02:43:53 UTC 2023","18710","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Dec 03 03:14:39 UTC 2023","Sun Dec 03 03:14:49 UTC 2023","9992","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Dec 03 03:35:42 UTC 2023","Sun Dec 03 03:35:49 UTC 2023","6662","","21. Forgot password function","","","","1. Direct to forgot password page",""
